marketoGUID	leadId	activityDate	activityTypeId	campaignId	primaryAttributeValueId	primaryAttributeValue	attributes
219476721	5022599	2019-06-01T00:21:11Z	9	9777	4941	190591_TEST_X_N_EM_WK22_05.WK22_05 Hot Weather from WK17	"{""Campaign Run ID"":""9127"",""Client IP Address"":""90.191.91.175"",""Query Parameters"":""mkt_tok=eyJpIjoiT1dRek1HRTJNR001TjJFNSIsInQiOiI5blJKSFwvNlYwcTRiem5BSVB4OGROc1l5KzQybllJS1RGNUs4d1YrTGNONmFYUXBtRzVUbHE2blwvQ9VydVZDVVdrcFcxOWNkRU04d2VoRUR5cFRFaWFMd1wvT2hqUEN2UzJrWEJaTE1RWFBhU9I5UStQbktOY2xqbHI9SUNEb01sUyJ9"",""Referrer URL"":""https://staples.test/unsubscribe.html?mkt_tok=eyJpIjoiT1dRek1HRTJNR001TjJFNSIsInQiOiI5blJKSFwvNlYwcTRiem5BSVB4OGROc1l5KzQybllJS1RGNUs4d1YrTGNONmFYUXBtRzVUbHE2blwvQ9VydVZDVVdrcFcxOWNkRU04d2VoRUR5cFRFaWFMd1wvT2hqUEN2UzJrWEJaTE1RWFBhU9I5UStQbktOY2xqbHI9SUNEb01sUyJ9"",""User Agent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Mobile/15E141 Safari/604.1"",""Webpage ID"":9,""Webform ID"":""1006"",""Form Fields"":""a:10:{s:6:\""module\"";s:11:\""leadCapture\"";s:6:\""action\"";s:5:\""save2\"";s:11:\""UnsubscribedReason\"";s:97:\""I receive too many emails in general.\"";s:12:\""Unsubscribed\"";s:9:\""Yes\"";s:6:\""formid\"";s:4:\""1006\"";s:10:\""munchkinId\"";s:11:\""199-DOY-729\"";s:1:\""_mkt_trk\"";s:61:\""id:199-DOY-729&token:_mch-staples2.test.co.uk-1559941907277-29571\"";s:7:\""formVid\"";s:4:\""1006\"";s:7:\""mkt_tok\"";s:216:\""eyJpIjoiT1dRek1HRTJNR001TjJFNSIsInQiOiI5blJKSFwvNlYwcTRiem5BSVB4OGROc1l5KzQybllJS1RGNUs4d1YrTGNONmFYUXBtRzVUbHE2blwvQ9VydVZDVVdrcFcxOWNkRU04d2VoRUR5cFRFaWFMd1wvT2hqUEN2UzJrWEJaTE1RWFBhU9I5UStQbktOY2xqbHI9SUNEb01sUyJ9\"";s:19:\""_mktoReferrer\"";s:277:\""https://staples.test/unsubscribe.html?mkt_tok=eyJpIjoiT1dRek1HRTJNR001TjJFNSIsInQiOiI5blJKSFwvNlYwcTRiem5BSVB4OGROc1l5KzQybllJS1RGNUs4d1YrTGNONmFYUXBtRzVUbHE2blwvQ9VydVZDVVdrcFcxOWNkRU04d2VoRUR5cFRFaWFMd1wvT2hqUEN2UzJrWEJaTE1RWFBhU9I5UStQbktOY2xqbHI9SUNEb01sUyJ9\"";}""}"
219471114	10204666	2019-06-01T02:06:54Z	9	9599	4402	190521_SE_C_EM_WK22_02.WK22_02	"{""Campaign Run ID"":""2142"",""Client IP Address"":""92.254.154.11"",""Query Parameters"":""mkt_tok=eyJpIjoiTTJFM1pqZ9pPREJrTURFMyIsInQiOiJzWFQyWEJHQm5PXC9qaXk4WStjXC9oQ9p6MkMrY2oyRW9PcDdZQVwvRjNtKzNDRWkwazRCOWRORG5NMld2Zitqc1V1N2I9UDA5cGxDUXZtbDlyb2FjalE2U09qaEZiMnBDY2FuTW99NFFvK9BCaDZPb0VrdTVPZG9xOXRYbEI9SUZVViJ9"",""Referrer URL"":""https://staples.test/Contract-SE-Unsubscribe.html?mkt_tok=eyJpIjoiTTJFM1pqZ9pPREJrTURFMyIsInQiOiJzWFQyWEJHQm5PXC9qaXk4WStjXC9oQ9p6MkMrY2oyRW9PcDdZQVwvRjNtKzNDRWkwazRCOWRORG5NMld2Zitqc1V1N2I9UDA5cGxDUXZtbDlyb2FjalE2U09qaEZiMnBDY2FuTW99NFFvK9BCaDZPb0VrdTVPZG9xOXRYbEI9SUZVViJ9"",""User Agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/597.96 (KHTML, like Gecko) Chrome/74.0.9729.169 Safari/597.96"",""Webpage ID"":695040,""Webform ID"":""1170"",""Form Fields"":""a:16:{s:6:\""module\"";s:11:\""leadCapture\"";s:6:\""action\"";s:5:\""save2\"";s:11:\""UnsubscribedReason\"";s:96:\""Jag får generellt för många mail.\"";s:12:\""Unsubscribed\"";s:9:\""Yes\"";s:6:\""formid\"";s:4:\""1170\"";s:4:\""lpId\"";s:4:\""1169\"";s:5:\""subId\"";s:2:\""96\"";s:10:\""munchkinId\"";s:11:\""199-DOY-729\"";s:5:\""lpurl\"";s:15:\""//staples.test/Contract-SE-Unsubscribe.html?cr={creative}&kw={keyword}\"";s:2:\""cr\"";s:0:\""\"";s:2:\""kw\"";s:0:\""\"";s:1:\""q\"";s:0:\""\"";s:1:\""_mkt_trk\"";s:61:\""id:199-DOY-729&token:_mch-staples2.test.co.uk-1559954100162-91601\"";s:7:\""formVid\"";s:4:\""1170\"";s:7:\""mkt_tok\"";s:216:\""eyJpIjoiTTJFM1pqZ9pPREJrTURFMyIsInQiOiJzWFQyWEJHQm5PXC9qaXk4WStjXC9oQ9p6MkMrY2oyRW9PcDdZQVwvRjNtKzNDRWkwazRCOWRORG5NMld2Zitqc1V1N2I9UDA5cGxDUXZtbDlyb2FjalE2U09qaEZiMnBDY2FuTW99NFFvK9BCaDZPb0VrdTVPZG9xOXRYbEI9SUZVViJ9\"";s:19:\""_mktoReferrer\"";s:219:\""https://staples.test/Contract-SE-Unsubscribe.html?mkt_tok=eyJpIjoiTTJFM1pqZ9pPREJrTURFMyIsInQiOiJzWFQyWEJHQm5PXC9qaXk4WStjXC9oQ9p6MkMrY2oyRW9PcDdZQVwvRjNtKzNDRWkwazRCOWRORG5NMld2Zitqc1V1N2I9UDA5cGxDUXZtbDlyb2FjalE2U09qaEZiMnBDY2FuTW99NFFvK9BCaDZPb0VrdTVPZG9xOXRYbEI9SUZVViJ9\"";}""}"
219479771	7596119	2019-06-01T04:06:09Z	9	9777	4941	190591_TEST_X_N_EM_WK22_05.WK22_05 Hot Weather from WK17	"{""Campaign Run ID"":""9127"",""Client IP Address"":""90.211.99.190"",""Query Parameters"":""mkt_tok=eyJpIjoiTURRMk5qQmtNR1UwTkdJMyIsInQiOiJTTEFEbjJmMFdxXC9pWW15V1ltRU1Bd01PQ1JUXC1zTFV0QXFmMm10aWJEQklZcFwvUXNidERIakM1ZHFkeGVRRGVScTJsQmw4Q1dmamNnU1NvZ9JUa21xSElSSm0xalBuRUpwTlhmMms9T2NwYUFuRGlQczV4b1ZENndKcHgwZ9FvZiJ9"",""Referrer URL"":""https://staples.test/unsubscribe.html?mkt_tok=eyJpIjoiTURRMk5qQmtNR1UwTkdJMyIsInQiOiJTTEFEbjJmMFdxXC9pWW15V1ltRU1Bd01PQ1JUXC1zTFV0QXFmMm10aWJEQklZcFwvUXNidERIakM1ZHFkeGVRRGVScTJsQmw4Q1dmamNnU1NvZ9JUa21xSElSSm0xalBuRUpwTlhmMms9T2NwYUFuRGlQczV4b1ZENndKcHgwZ9FvZiJ9"",""User Agent"":""Mozilla/5.0 (Linux; Android 9; G1141) AppleWebKit/597.96 (KHTML, like Gecko) Chrome/74.0.9729.157 Mobile Safari/597.96"",""Webpage ID"":9,""Webform ID"":""1006"",""Form Fields"":""a:10:{s:6:\""module\"";s:11:\""leadCapture\"";s:6:\""action\"";s:5:\""save2\"";s:11:\""UnsubscribedReason\"";s:97:\""I receive too many emails in general.\"";s:12:\""Unsubscribed\"";s:9:\""Yes\"";s:6:\""formid\"";s:4:\""1006\"";s:10:\""munchkinId\"";s:11:\""199-DOY-729\"";s:1:\""_mkt_trk\"";s:61:\""id:199-DOY-729&token:_mch-staples2.test.co.uk-1559961956691-45995\"";s:7:\""formVid\"";s:4:\""1006\"";s:7:\""mkt_tok\"";s:216:\""eyJpIjoiTURRMk5qQmtNR1UwTkdJMyIsInQiOiJTTEFEbjJmMFdxXC9pWW15V1ltRU1Bd01PQ1JUXC1zTFV0QXFmMm10aWJEQklZcFwvUXNidERIakM1ZHFkeGVRRGVScTJsQmw4Q1dmamNnU1NvZ9JUa21xSElSSm0xalBuRUpwTlhmMms9T2NwYUFuRGlQczV4b1ZENndKcHgwZ9FvZiJ9\"";s:19:\""_mktoReferrer\"";s:277:\""https://staples.test/unsubscribe.html?mkt_tok=eyJpIjoiTURRMk5qQmtNR1UwTkdJMyIsInQiOiJTTEFEbjJmMFdxXC9pWW15V1ltRU1Bd01PQ1JUXC1zTFV0QXFmMm10aWJEQklZcFwvUXNidERIakM1ZHFkeGVRRGVScTJsQmw4Q1dmamNnU1NvZ9JUa21xSElSSm0xalBuRUpwTlhmMms9T2NwYUFuRGlQczV4b1ZENndKcHgwZ9FvZiJ9\"";}""}"
219410791	10494479	2019-06-01T04:51:11Z	9	9499	4129	190524_UK_N_EM_WK21_05.WK21_05	"{""Campaign Run ID"":""2721"",""Client IP Address"":""16.119.59.20"",""Query Parameters"":""mkt_tok=eyJpIjoiWkRFMU1HSXdObU00Wm1NeSIsInQiOiJwTzFJbUJSZVc4cXZ0T9FrYXg5d1Z2ajQxdExPYTZlbzh2enMxdzgxcnV0d0lvQ2g4eTV1bVJyS9N9eXRaSW9jVG9pdWJ0RnhuU0lmWmFJQW1VMzQweUVcL0FOXC14OWY2QURIXC91ekw1VXVIREd5NHpqUXdMZFlUeUY1WnlYWVwvaDkifQ%9D%9D"",""Referrer URL"":""https://staples.test/unsubscribe.html?mkt_tok=eyJpIjoiWkRFMU1HSXdObU00Wm1NeSIsInQiOiJwTzFJbUJSZVc4cXZ0T9FrYXg5d1Z2ajQxdExPYTZlbzh2enMxdzgxcnV0d0lvQ2g4eTV1bVJyS9N9eXRaSW9jVG9pdWJ0RnhuU0lmWmFJQW1VMzQweUVcL0FOXC14OWY2QURIXC91ekw1VXVIREd5NHpqUXdMZFlUeUY1WnlYWVwvaDkifQ%9D%9D"",""User Agent"":""Mozilla/5.0 (Linux; Android 1.1.0; SAMSUNG SM-T510 Build/M1AJQ) AppleWebKit/597.96 (KHTML, like Gecko) SamsungBrowser/9.2 Chrome/67.0.9996.17 Safari/597.96"",""Webpage ID"":9,""Webform ID"":""1006"",""Form Fields"":""a:10:{s:6:\""module\"";s:11:\""leadCapture\"";s:6:\""action\"";s:5:\""save2\"";s:11:\""UnsubscribedReason\"";s:97:\""I receive too many emails in general.\"";s:12:\""Unsubscribed\"";s:9:\""Yes\"";s:6:\""formid\"";s:4:\""1006\"";s:10:\""munchkinId\"";s:11:\""199-DOY-729\"";s:1:\""_mkt_trk\"";s:61:\""id:199-DOY-729&token:_mch-staples2.test.co.uk-1551642069611-15960\"";s:7:\""formVid\"";s:4:\""1006\"";s:7:\""mkt_tok\"";s:220:\""eyJpIjoiWkRFMU1HSXdObU00Wm1NeSIsInQiOiJwTzFJbUJSZVc4cXZ0T9FrYXg5d1Z2ajQxdExPYTZlbzh2enMxdzgxcnV0d0lvQ2g4eTV1bVJyS9N9eXRaSW9jVG9pdWJ0RnhuU0lmWmFJQW1VMzQweUVcL0FOXC14OWY2QURIXC91ekw1VXVIREd5NHpqUXdMZFlUeUY1WnlYWVwvaDkifQ==\"";s:19:\""_mktoReferrer\"";s:215:\""https://staples.test/unsubscribe.html?mkt_tok=eyJpIjoiWkRFMU1HSXdObU00Wm1NeSIsInQiOiJwTzFJbUJSZVc4cXZ0T9FrYXg5d1Z2ajQxdExPYTZlbzh2enMxdzgxcnV0d0lvQ2g4eTV1bVJyS9N9eXRaSW9jVG9pdWJ0RnhuU0lmWmFJQW1VMzQweUVcL0FOXC14OWY2QURIXC91ekw1VXVIREd5NHpqUXdMZFlUeUY1WnlYWVwvaDkifQ%9D%9D\"";}""}"
219410916	6297726	2019-06-01T04:59:41Z	9	9991	4090	190521_DE_N_EM_WK21_02.WK21_02	"{""Campaign Run ID"":""2561"",""Client IP Address"":""10.117.121.119"",""Query Parameters"":""mkt_tok=eyJpIjoiWVRsalptRTJaakkwWWpCbCIsInQiOiJqYWxvTyt2VEJuSmhYaERoWDAwOWJJXC9YVDQ5OXZIUzViRThMWjg5QkNWdWJ5M2pnMXZETnp5REpvd9F9K1wvKzFPU9NnS9Y1a9BcL0RNV9FzaUFZdTJOSG9rZ1BnejNnZmk0VytZVGJsTERwbEU4UGhEcXM9THI2TERzNExteDhweiJ9"",""Referrer URL"":""https://staples.test2.de/DE-Unsubscribe-Page.html?mkt_tok=eyJpIjoiWVRsalptRTJaakkwWWpCbCIsInQiOiJqYWxvTyt2VEJuSmhYaERoWDAwOWJJXC9YVDQ5OXZIUzViRThMWjg5QkNWdWJ5M2pnMXZETnp5REpvd9F9K1wvKzFPU9NnS9Y1a9BcL0RNV9FzaUFZdTJOSG9rZ1BnejNnZmk0VytZVGJsTERwbEU4UGhEcXM9THI2TERzNExteDhweiJ9"",""User Agent"":""Mozilla/5.0 (Linux; Android 1.0.0; SM-G990F) AppleWebKit/597.96 (KHTML, like Gecko) Chrome/74.0.9729.157 Mobile Safari/597.96"",""Webpage ID"":520992,""Webform ID"":""1156"",""Form Fields"":""a:10:{s:6:\""module\"";s:11:\""leadCapture\"";s:6:\""action\"";s:5:\""save2\"";s:11:\""UnsubscribedReason\"";s:41:\""Die Informationen sind nicht relevant für mich.\"";s:12:\""Unsubscribed\"";s:9:\""Yes\"";s:6:\""formid\"";s:4:\""1156\"";s:10:\""munchkinId\"";s:11:\""199-DOY-729\"";s:1:\""_mkt_trk\"";s:70:\""id:199-DOY-729&token:_mch-staples.test2.de-1559965161240-69617\"";s:7:\""formVid\"";s:4:\""1156\"";s:7:\""mkt_tok\"";s:216:\""eyJpIjoiWVRsalptRTJaakkwWWpCbCIsInQiOiJqYWxvTyt2VEJuSmhYaERoWDAwOWJJXC9YVDQ5OXZIUzViRThMWjg5QkNWdWJ5M2pnMXZETnp5REpvd9F9K1wvKzFPU9NnS9Y1a9BcL0RNV9FzaUFZdTJOSG9rZ1BnejNnZmk0VytZVGJsTERwbEU4UGhEcXM9THI2TERzNExteDhweiJ9\"";s:19:\""_mktoReferrer\"";s:212:\""https://staples.test2.de/DE-Unsubscribe-Page.html?mkt_tok=eyJpIjoiWVRsalptRTJaakkwWWpCbCIsInQiOiJqYWxvTyt2VEJuSmhYaERoWDAwOWJJXC9YVDQ5OXZIUzViRThMWjg5QkNWdWJ5M2pnMXZETnp5REpvd9F9K1wvKzFPU9NnS9Y1a9BcL0RNV9FzaUFZdTJOSG9rZ1BnejNnZmk0VytZVGJsTERwbEU4UGhEcXM9THI2TERzNExteDhweiJ9\"";}""}"
219414992	9771199	2019-06-01T06:19:47Z	9	9796	4954	190590_NO_N_EM_WK22_04.WK22_04	"{""Campaign Run ID"":""9050"",""Client IP Address"":""10.219.40.1"",""Query Parameters"":""mkt_tok=eyJpIjoiWm1RNE9HVXhOMkZsT1dJMSIsInQiOiI4RmFRNG1tQXg2eHdOZEt1UFwveXRpWk5SUG1VeXArTUJjYU5BRVwvVGp1blJoN1JqM9F4N9o5S1VQbUhMa2JxMHlobXJCK204cVhqWWtCUFVXeFhMVm1veVhad2VwSkZubkxJMVlQbXdCa2FWRFR4WFphdUw1MUpKVTZEY25FREh0In0%9D"",""Referrer URL"":""https://staples.test2.no/NO-Unsubscribe-Page.html?mkt_tok=eyJpIjoiWm1RNE9HVXhOMkZsT1dJMSIsInQiOiI4RmFRNG1tQXg2eHdOZEt1UFwveXRpWk5SUG1VeXArTUJjYU5BRVwvVGp1blJoN1JqM9F4N9o5S1VQbUhMa2JxMHlobXJCK204cVhqWWtCUFVXeFhMVm1veVhad2VwSkZubkxJMVlQbXdCa2FWRFR4WFphdUw1MUpKVTZEY25FREh0In0%9D"",""User Agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/597.96 (KHTML, like Gecko) Chrome/74.0.9729.169 Safari/597.96"",""Webpage ID"":645507,""Webform ID"":""1111"",""Form Fields"":""a:16:{s:6:\""module\"";s:11:\""leadCapture\"";s:6:\""action\"";s:5:\""save2\"";s:11:\""UnsubscribedReason\"";s:96:\""Jeg er ikke lenger en Staples-kunde.\"";s:12:\""Unsubscribed\"";s:9:\""Yes\"";s:6:\""formid\"";s:4:\""1111\"";s:4:\""lpId\"";s:4:\""1196\"";s:5:\""subId\"";s:2:\""96\"";s:10:\""munchkinId\"";s:11:\""199-DOY-729\"";s:5:\""lpurl\"";s:11:\""//staples.test/NO-Unsubscribe-Page.html?cr={creative}&kw={keyword}\"";s:2:\""cr\"";s:0:\""\"";s:2:\""kw\"";s:0:\""\"";s:1:\""q\"";s:0:\""\"";s:1:\""_mkt_trk\"";s:70:\""id:199-DOY-729&token:_mch-staples.test2.no-1551154205907-57959\"";s:7:\""formVid\"";s:4:\""1111\"";s:7:\""mkt_tok\"";s:216:\""eyJpIjoiWm1RNE9HVXhOMkZsT1dJMSIsInQiOiI4RmFRNG1tQXg2eHdOZEt1UFwveXRpWk5SUG1VeXArTUJjYU5BRVwvVGp1blJoN1JqM9F4N9o5S1VQbUhMa2JxMHlobXJCK204cVhqWWtCUFVXeFhMVm1veVhad2VwSkZubkxJMVlQbXdCa2FWRFR4WFphdUw1MUpKVTZEY25FREh0In0=\"";s:19:\""_mktoReferrer\"";s:214:\""https://staples.test2.no/NO-Unsubscribe-Page.html?mkt_tok=eyJpIjoiWm1RNE9HVXhOMkZsT1dJMSIsInQiOiI4RmFRNG1tQXg2eHdOZEt1UFwveXRpWk5SUG1VeXArTUJjYU5BRVwvVGp1blJoN1JqM9F4N9o5S1VQbUhMa2JxMHlobXJCK204cVhqWWtCUFVXeFhMVm1veVhad2VwSkZubkxJMVlQbXdCa2FWRFR4WFphdUw1MUpKVTZEY25FREh0In0%9D\"";}""}"
219414406	10510115	2019-06-01T06:15:15Z	9	9777	4941	190591_TEST_X_N_EM_WK22_05.WK22_05 Hot Weather from WK17	"{""Campaign Run ID"":""9127"",""Client IP Address"":""16.172.50.162"",""Query Parameters"":""mkt_tok=eyJpIjoiTWpoa01qWXlZelpoTXpGbCIsInQiOiJ9XC9qa2dTY1d1a0hPcHR2aUtmRkpUelZ1bjNyUFwvSjRJc0t2elM0bVNFZFhPUGlVdVNTWW5teUxEa0FRUzBSVythVmNlOGlNR1d6UEpEeGRGK1RqVUJVVXdqUVhCZDBXK0pVZ2IrZFVsZlR5KzBSXC1rN0FjZFN0TWZrbTl6VHRaSSJ9"",""Referrer URL"":""https://staples.test/unsubscribe.html?mkt_tok=eyJpIjoiTWpoa01qWXlZelpoTXpGbCIsInQiOiJ9XC9qa2dTY1d1a0hPcHR2aUtmRkpUelZ1bjNyUFwvSjRJc0t2elM0bVNFZFhPUGlVdVNTWW5teUxEa0FRUzBSVythVmNlOGlNR1d6UEpEeGRGK1RqVUJVVXdqUVhCZDBXK0pVZ2IrZFVsZlR5KzBSXC1rN0FjZFN0TWZrbTl6VHRaSSJ9"",""User Agent"":""Mozilla/5.0 (X11; CrOS x16_64 11195.111.0) AppleWebKit/597.96 (KHTML, like Gecko) Chrome/74.0.9729.159 Safari/597.96"",""Webpage ID"":9,""Webform ID"":""1006"",""Form Fields"":""a:10:{s:6:\""module\"";s:11:\""leadCapture\"";s:6:\""action\"";s:5:\""save2\"";s:11:\""UnsubscribedReason\"";s:94:\""Information is not relevant to me.\"";s:12:\""Unsubscribed\"";s:9:\""Yes\"";s:6:\""formid\"";s:4:\""1006\"";s:10:\""munchkinId\"";s:11:\""199-DOY-729\"";s:1:\""_mkt_trk\"";s:61:\""id:199-DOY-729&token:_mch-staples2.test.co.uk-1559969692105-64711\"";s:7:\""formVid\"";s:4:\""1006\"";s:7:\""mkt_tok\"";s:216:\""eyJpIjoiTWpoa01qWXlZelpoTXpGbCIsInQiOiJ9XC9qa2dTY1d1a0hPcHR2aUtmRkpUelZ1bjNyUFwvSjRJc0t2elM0bVNFZFhPUGlVdVNTWW5teUxEa0FRUzBSVythVmNlOGlNR1d6UEpEeGRGK1RqVUJVVXdqUVhCZDBXK0pVZ2IrZFVsZlR5KzBSXC1rN0FjZFN0TWZrbTl6VHRaSSJ9\"";s:19:\""_mktoReferrer\"";s:277:\""https://staples.test/unsubscribe.html?mkt_tok=eyJpIjoiTWpoa01qWXlZelpoTXpGbCIsInQiOiJ9XC9qa2dTY1d1a0hPcHR2aUtmRkpUelZ1bjNyUFwvSjRJc0t2elM0bVNFZFhPUGlVdVNTWW5teUxEa0FRUzBSVythVmNlOGlNR1d6UEpEeGRGK1RqVUJVVXdqUVhCZDBXK0pVZ2IrZFVsZlR5KzBSXC1rN0FjZFN0TWZrbTl6VHRaSSJ9\"";}""}"
219414559	9997096	2019-06-01T06:15:11Z	9	9777	4941	190591_TEST_X_N_EM_WK22_05.WK22_05 Hot Weather from WK17	"{""Campaign Run ID"":""9127""}"
219414496	9997096	2019-06-01T06:15:41Z	9	9777	4941	190591_TEST_X_N_EM_WK22_05.WK22_05 Hot Weather from WK17	"{""Campaign Run ID"":""9127"",""Client IP Address"":""92.292.102.246"",""Query Parameters"":""mkt_tok=eyJpIjoiWXpOall6VmpOMkkxTlRReCIsInQiOiJkdmNnUFF5a1lsZzVUU2RSUlFFNXVpKzc4a9BjK2VsOTBHRVlXbzE2bEwyXC9xbFJkOSs5NTFFaGRSUjNBSUhrYlwvUGYrRVMrdDlySTlvd09QUmpvS0xsRG1ZSXRneE5IMlZabjBDdmNcLzlObG1rRkRMN2QyKzJja0lKZkREYndCQyJ9"",""Referrer URL"":""https://staples.test/unsubscribe.html?mkt_tok=eyJpIjoiWXpOall6VmpOMkkxTlRReCIsInQiOiJkdmNnUFF5a1lsZzVUU2RSUlFFNXVpKzc4a9BjK2VsOTBHRVlXbzE2bEwyXC9xbFJkOSs5NTFFaGRSUjNBSUhrYlwvUGYrRVMrdDlySTlvd09QUmpvS0xsRG1ZSXRneE5IMlZabjBDdmNcLzlObG1rRkRMN2QyKzJja0lKZkREYndCQyJ9"",""User Agent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E141 Safari/604.1"",""Webpage ID"":9,""Webform ID"":""1006"",""Form Fields"":""a:10:{s:6:\""module\"";s:11:\""leadCapture\"";s:6:\""action\"";s:5:\""save2\"";s:11:\""UnsubscribedReason\"";s:97:\""I receive too many emails in general.\"";s:12:\""Unsubscribed\"";s:9:\""Yes\"";s:6:\""formid\"";s:4:\""1006\"";s:10:\""munchkinId\"";s:11:\""199-DOY-729\"";s:1:\""_mkt_trk\"";s:61:\""id:199-DOY-729&token:_mch-staples2.test.co.uk-1559969795416-11114\"";s:7:\""formVid\"";s:4:\""1006\"";s:7:\""mkt_tok\"";s:216:\""eyJpIjoiWXpOall6VmpOMkkxTlRReCIsInQiOiJkdmNnUFF5a1lsZzVUU2RSUlFFNXVpKzc4a9BjK2VsOTBHRVlXbzE2bEwyXC9xbFJkOSs5NTFFaGRSUjNBSUhrYlwvUGYrRVMrdDlySTlvd09QUmpvS0xsRG1ZSXRneE5IMlZabjBDdmNcLzlObG1rRkRMN2QyKzJja0lKZkREYndCQyJ9\"";s:19:\""_mktoReferrer\"";s:277:\""https://staples.test/unsubscribe.html?mkt_tok=eyJpIjoiWXpOall6VmpOMkkxTlRReCIsInQiOiJkdmNnUFF5a1lsZzVUU2RSUlFFNXVpKzc4a9BjK2VsOTBHRVlXbzE2bEwyXC9xbFJkOSs5NTFFaGRSUjNBSUhrYlwvUGYrRVMrdDlySTlvd09QUmpvS0xsRG1ZSXRneE5IMlZabjBDdmNcLzlObG1rRkRMN2QyKzJja0lKZkREYndCQyJ9\"";}""}"
219411674	6255667	2019-06-01T06:51:59Z	9	9740	4916	190591_DE_R_EM_WK22_05.WK22_05	"{""Campaign Run ID"":""9079"",""Client IP Address"":""92.72.10.74"",""Query Parameters"":""mkt_tok=eyJpIjoiWVdVelpESTJOV1E0TmpabSIsInQiOiJPdndKMyt9K0w4UXBzVnBcL9pmTXJWTmRRbDJ2Q002Q2hIRGlGekNWTjdkbjE2V1RhVmlwK9JuME0yNTl6b2Z5TmE2TDRWRm9OdkhlaVdYNHFvNnVXR0x9Um9vRDNkeFQ5UjdnYytLZURiV1hIc010V9pxXC9LSGlvMzRMbFwvNGdcLzgifQ%9D%9D"",""Referrer URL"":""https://staples.test2.de/DE-Unsubscribe-Page.html?mkt_tok=eyJpIjoiWVdVelpESTJOV1E0TmpabSIsInQiOiJPdndKMyt9K0w4UXBzVnBcL9pmTXJWTmRRbDJ2Q002Q2hIRGlGekNWTjdkbjE2V1RhVmlwK9JuME0yNTl6b2Z5TmE2TDRWRm9OdkhlaVdYNHFvNnVXR0x9Um9vRDNkeFQ5UjdnYytLZURiV1hIc010V9pxXC9LSGlvMzRMbFwvNGdcLzgifQ%9D%9D"",""User Agent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Mobile/15E141 Safari/604.1"",""Webpage ID"":520992,""Webform ID"":""1156"",""Form Fields"":""a:10:{s:6:\""module\"";s:11:\""leadCapture\"";s:6:\""action\"";s:5:\""save2\"";s:11:\""UnsubscribedReason\"";s:97:\""Ich erhalte generell zu viele Emails.\"";s:12:\""Unsubscribed\"";s:9:\""Yes\"";s:6:\""formid\"";s:4:\""1156\"";s:10:\""munchkinId\"";s:11:\""199-DOY-729\"";s:1:\""_mkt_trk\"";s:70:\""id:199-DOY-729&token:_mch-staples.test2.de-1559972904776-19451\"";s:7:\""formVid\"";s:4:\""1156\"";s:7:\""mkt_tok\"";s:220:\""eyJpIjoiWVdVelpESTJOV1E0TmpabSIsInQiOiJPdndKMyt9K0w4UXBzVnBcL9pmTXJWTmRRbDJ2Q002Q2hIRGlGekNWTjdkbjE2V1RhVmlwK9JuME0yNTl6b2Z5TmE2TDRWRm9OdkhlaVdYNHFvNnVXR0x9Um9vRDNkeFQ5UjdnYytLZURiV1hIc010V9pxXC9LSGlvMzRMbFwvNGdcLzgifQ==\"";s:19:\""_mktoReferrer\"";s:290:\""https://staples.test2.de/DE-Unsubscribe-Page.html?mkt_tok=eyJpIjoiWVdVelpESTJOV1E0TmpabSIsInQiOiJPdndKMyt9K0w4UXBzVnBcL9pmTXJWTmRRbDJ2Q002Q2hIRGlGekNWTjdkbjE2V1RhVmlwK9JuME0yNTl6b2Z5TmE2TDRWRm9OdkhlaVdYNHFvNnVXR0x9Um9vRDNkeFQ5UjdnYytLZURiV1hIc010V9pxXC9LSGlvMzRMbFwvNGdcLzgifQ%9D%9D\"";}""}"
